{'le': 1, 'li': 1, 'name': '2015年第2621期认证开班', 'id': 2621}
{'le': 2, 'li': 1, 'name': '2015年第4735期认证开班', 'id': 4735}
{'le': 3, 'li': 1, 'name': '2015年第2070期认证开班', 'id': 2070}
{'le': 4, 'li': 1, 'name': '2015年第205期认证开班', 'id': 205}
{'le': 1, 'li': 2, 'name': '2015年第9240期认证开班', 'id': 9240}
{'le': 2, 'li': 2, 'name': '2015年第2049期认证开班', 'id': 2049}
{'le': 3, 'li': 2, 'name': '2015年第3261期认证开班', 'id': 3261}
{'le': 4, 'li': 2, 'name': '2015年第9341期认证开班', 'id': 9341}
{'le': 1, 'li': 3, 'name': '2015年第5863期认证开班', 'id': 5863}
{'le': 2, 'li': 3, 'name': '2015年第666期认证开班', 'id': 666}
{'le': 3, 'li': 3, 'name': '2015年第8317期认证开班', 'id': 8317}
{'le': 4, 'li': 3, 'name': '2015年第3941期认证开班', 'id': 3941}
{'le': 1, 'li': 4, 'name': '2015年第2816期认证开班', 'id': 2816}
{'le': 2, 'li': 4, 'name': '2015年第2352期认证开班', 'id': 2352}
{'le': 3, 'li': 4, 'name': '2015年第4696期认证开班', 'id': 4696}
{'le': 4, 'li': 4, 'name': '2015年第4652期认证开班', 'id': 4652}
{'le': 1, 'li': 5, 'name': '2015年第9777期认证开班', 'id': 9777}
{'le': 2, 'li': 5, 'name': '2015年第8623期认证开班', 'id': 8623}
{'le': 3, 'li': 5, 'name': '2015年第631期认证开班', 'id': 631}
{'le': 4, 'li': 5, 'name': '2015年第9373期认证开班', 'id': 9373}
{'le': 1, 'li': 6, 'name': '2015年第3706期认证开班', 'id': 3706}
{'le': 2, 'li': 6, 'name': '2015年第2919期认证开班', 'id': 2919}
{'le': 3, 'li': 6, 'name': '2015年第922期认证开班', 'id': 922}
{'le': 4, 'li': 6, 'name': '2015年第9757期认证开班', 'id': 9757}
{'le': 1, 'li': 7, 'name': '2015年第5932期认证开班', 'id': 5932}
{'le': 2, 'li': 7, 'name': '2015年第5069期认证开班', 'id': 5069}
{'le': 3, 'li': 7, 'name': '2015年第585期认证开班', 'id': 585}
{'le': 4, 'li': 7, 'name': '2015年第8535期认证开班', 'id': 8535}
{'le': 1, 'li': 8, 'name': '2015年第5448期认证开班', 'id': 5448}
{'le': 2, 'li': 8, 'name': '2015年第5328期认证开班', 'id': 5328}
{'le': 3, 'li': 8, 'name': '2015年第9341期认证开班', 'id': 9341}
{'le': 4, 'li': 8, 'name': '2015年第4675期认证开班', 'id': 4675}
{'le': 1, 'li': 9, 'name': '2015年第7536期认证开班', 'id': 7536}
{'le': 2, 'li': 9, 'name': '2015年第7982期认证开班', 'id': 7982}
{'le': 3, 'li': 9, 'name': '2015年第8512期认证开班', 'id': 8512}
{'le': 4, 'li': 9, 'name': '2015年第7393期认证开班', 'id': 7393}
{'le': 1, 'li': 10, 'name': '2015年第1027期认证开班', 'id': 1027}
{'le': 2, 'li': 10, 'name': '2015年第3341期认证开班', 'id': 3341}
{'le': 3, 'li': 10, 'name': '2015年第3383期认证开班', 'id': 3383}
{'le': 4, 'li': 10, 'name': '2015年第7854期认证开班', 'id': 7854}
{'le': 1, 'li': 11, 'name': '2015年第9405期认证开班', 'id': 9405}
{'le': 2, 'li': 11, 'name': '2015年第3626期认证开班', 'id': 3626}
{'le': 3, 'li': 11, 'name': '2015年第4321期认证开班', 'id': 4321}
{'le': 4, 'li': 11, 'name': '2015年第340期认证开班', 'id': 340}
{'le': 1, 'li': 12, 'name': '2015年第9810期认证开班', 'id': 9810}
{'le': 2, 'li': 12, 'name': '2015年第5788期认证开班', 'id': 5788}
{'le': 3, 'li': 12, 'name': '2015年第4960期认证开班', 'id': 4960}
{'le': 4, 'li': 12, 'name': '2015年第6234期认证开班', 'id': 6234}
{'le': 1, 'li': 13, 'name': '2015年第1630期认证开班', 'id': 1630}
{'le': 2, 'li': 13, 'name': '2015年第5900期认证开班', 'id': 5900}
{'le': 3, 'li': 13, 'name': '2015年第6242期认证开班', 'id': 6242}
{'le': 4, 'li': 13, 'name': '2015年第4270期认证开班', 'id': 4270}
